miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped	Sample ID
hsa-mir-190b	30	9.144621	N	TCGA-E2-A1IJ-01A
hsa-mir-301b	4	1.219283	N	TCGA-E2-A1IJ-01A
hsa-mir-375	82236	25067.235828	N	TCGA-E2-A1IJ-01A
hsa-mir-429	287	87.483543	N	TCGA-E2-A1IJ-01A
hsa-mir-592	14	4.26749	N	TCGA-E2-A1IJ-01A
hsa-mir-190b	29	16.351413	N	TCGA-A2-A0YI-01A
hsa-mir-301b	2	1.127684	N	TCGA-A2-A0YI-01A
hsa-mir-375	63302	35692.31602	N	TCGA-A2-A0YI-01A
hsa-mir-429	47	26.500566	N	TCGA-A2-A0YI-01A
hsa-mir-592	0	0.0	N	TCGA-A2-A0YI-01A
hsa-mir-190b	132	93.101726	N	TCGA-E2-A1L7-01A
hsa-mir-301b	36	25.39138	N	TCGA-E2-A1L7-01A
hsa-mir-375	34702	24475.8796	N	TCGA-E2-A1L7-01A
hsa-mir-429	237	167.159918	N	TCGA-E2-A1L7-01A
hsa-mir-592	42	29.623277	N	TCGA-E2-A1L7-01A
hsa-mir-190b	0	0.0	N	TCGA-A2-A0T0-01A
hsa-mir-301b	7	3.921186	N	TCGA-A2-A0T0-01A
hsa-mir-375	11176	6260.454163	N	TCGA-A2-A0T0-01A
hsa-mir-429	679	380.35508	N	TCGA-A2-A0T0-01A
hsa-mir-592	14	7.842373	N	TCGA-A2-A0T0-01A
hsa-mir-190b	15	2.960308	N	TCGA-B6-A0WS-01A
hsa-mir-301b	3	0.592062	N	TCGA-B6-A0WS-01A
hsa-mir-375	49799	9828.02583	N	TCGA-B6-A0WS-01A
hsa-mir-429	400	78.941552	N	TCGA-B6-A0WS-01A
hsa-mir-592	10	1.973539	N	TCGA-B6-A0WS-01A
hsa-mir-190b	3	2.538322	N	TCGA-EW-A1PH-01A
hsa-mir-301b	6	5.076645	N	TCGA-EW-A1PH-01A
hsa-mir-375	10685	9040.658001	N	TCGA-EW-A1PH-01A
hsa-mir-429	104	87.995174	N	TCGA-EW-A1PH-01A
hsa-mir-592	1	0.846107	N	TCGA-EW-A1PH-01A
hsa-mir-190b	0	0.0	N	TCGA-D8-A27M-01A
hsa-mir-301b	3	1.265595	N	TCGA-D8-A27M-01A
hsa-mir-375	35002	14766.122208	N	TCGA-D8-A27M-01A
hsa-mir-429	210	88.591671	N	TCGA-D8-A27M-01A
hsa-mir-592	11	4.640516	N	TCGA-D8-A27M-01A
hsa-mir-190b	283	54.615639	N	TCGA-AC-A3YJ-01A
hsa-mir-301b	4	0.771952	N	TCGA-AC-A3YJ-01A
hsa-mir-375	596368	115091.941472	N	TCGA-AC-A3YJ-01A
hsa-mir-429	569	109.810242	N	TCGA-AC-A3YJ-01A
hsa-mir-592	35	6.754584	N	TCGA-AC-A3YJ-01A
hsa-mir-190b	25	18.802902	N	TCGA-AN-A0XV-01A
hsa-mir-301b	1	0.752116	N	TCGA-AN-A0XV-01A
hsa-mir-375	38128	28676.681844	N	TCGA-AN-A0XV-01A
hsa-mir-429	146	109.808947	N	TCGA-AN-A0XV-01A
hsa-mir-592	4	3.008464	N	TCGA-AN-A0XV-01A
hsa-mir-190b	8	2.298926	N	TCGA-A1-A0SN-01A
hsa-mir-301b	3	0.862097	N	TCGA-A1-A0SN-01A
hsa-mir-375	17998	5172.008508	N	TCGA-A1-A0SN-01A
hsa-mir-429	145	41.668032	N	TCGA-A1-A0SN-01A
hsa-mir-592	10	2.873657	N	TCGA-A1-A0SN-01A
hsa-mir-190b	1	0.654047	N	TCGA-C8-A12V-01A
hsa-mir-301b	6	3.924282	N	TCGA-C8-A12V-01A
hsa-mir-375	944	617.420412	N	TCGA-C8-A12V-01A
