miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped	Sample ID
hsa-mir-1249	0	0.0	N	TCGA-AA-3561-01A
hsa-mir-1538	0	0.0	N	TCGA-AA-3561-01A
hsa-mir-1976	19	21.204316	N	TCGA-AA-3561-01A
hsa-mir-2110	4	4.464066	N	TCGA-AA-3561-01A
hsa-mir-326	4	4.464066	N	TCGA-AA-3561-01A
hsa-mir-346	0	0.0	N	TCGA-AA-3561-01A
hsa-mir-3653	7	7.812116	N	TCGA-AA-3561-01A
hsa-mir-375	17538	19572.699555	N	TCGA-AA-3561-01A
hsa-mir-484	38	42.408632	N	TCGA-AA-3561-01A
hsa-mir-760	5	5.580083	N	TCGA-AA-3561-01A
hsa-mir-1249	3	0.673406	N	TCGA-AZ-6598-01A
hsa-mir-1538	1	0.224469	N	TCGA-AZ-6598-01A
hsa-mir-1976	57	12.794716	N	TCGA-AZ-6598-01A
hsa-mir-2110	17	3.815968	N	TCGA-AZ-6598-01A
hsa-mir-326	36	8.080873	N	TCGA-AZ-6598-01A
hsa-mir-346	0	0.0	N	TCGA-AZ-6598-01A
hsa-mir-3653	43	9.652154	N	TCGA-AZ-6598-01A
hsa-mir-375	401434	90109.370132	N	TCGA-AZ-6598-01A
hsa-mir-484	230	51.627802	N	TCGA-AZ-6598-01A
hsa-mir-760	14	3.142562	N	TCGA-AZ-6598-01A
hsa-mir-1249	0	0.0	N	TCGA-D5-6920-01A
hsa-mir-1538	1	0.35298	N	TCGA-D5-6920-01A
hsa-mir-1976	31	10.942387	N	TCGA-D5-6920-01A
hsa-mir-2110	7	2.470861	N	TCGA-D5-6920-01A
hsa-mir-326	18	6.353644	N	TCGA-D5-6920-01A
hsa-mir-346	0	0.0	N	TCGA-D5-6920-01A
hsa-mir-3653	8	2.823842	N	TCGA-D5-6920-01A
hsa-mir-375	204220	72085.61888	N	TCGA-D5-6920-01A
hsa-mir-484	175	61.771537	N	TCGA-D5-6920-01A
hsa-mir-760	0	0.0	N	TCGA-D5-6920-01A
hsa-mir-1249	4	0.78164	N	TCGA-AM-5820-01A
hsa-mir-1538	1	0.19541	N	TCGA-AM-5820-01A
hsa-mir-1976	33	6.448528	N	TCGA-AM-5820-01A
hsa-mir-2110	6	1.17246	N	TCGA-AM-5820-01A
hsa-mir-326	6	1.17246	N	TCGA-AM-5820-01A
hsa-mir-346	0	0.0	N	TCGA-AM-5820-01A
hsa-mir-3653	14	2.735739	N	TCGA-AM-5820-01A
hsa-mir-375	4952	967.670012	N	TCGA-AM-5820-01A
hsa-mir-484	93	18.173124	N	TCGA-AM-5820-01A
hsa-mir-760	10	1.954099	N	TCGA-AM-5820-01A
hsa-mir-1249	1	1.808799	N	TCGA-AA-3688-01A
hsa-mir-1538	0	0.0	N	TCGA-AA-3688-01A
hsa-mir-1976	0	0.0	N	TCGA-AA-3688-01A
hsa-mir-2110	1	1.808799	N	TCGA-AA-3688-01A
hsa-mir-326	3	5.426397	N	TCGA-AA-3688-01A
hsa-mir-346	0	0.0	N	TCGA-AA-3688-01A
hsa-mir-3653	17	30.749584	N	TCGA-AA-3688-01A
hsa-mir-375	10835	19598.338075	N	TCGA-AA-3688-01A
hsa-mir-484	39	70.543164	N	TCGA-AA-3688-01A
hsa-mir-760	1	1.808799	N	TCGA-AA-3688-01A
hsa-mir-1249	5	1.524479	N	TCGA-AA-3851-01A
hsa-mir-1538	0	0.0	N	TCGA-AA-3851-01A
hsa-mir-1976	12	3.65875	N	TCGA-AA-3851-01A
hsa-mir-2110	4	1.219583	N	TCGA-AA-3851-01A
hsa-mir-326	10	3.048958	N	TCGA-AA-3851-01A
hsa-mir-346	0	0.0	N	TCGA-AA-3851-01A
hsa-mir-3653	27	8.232187	N	TCGA-AA-3851-01A
hsa-mir-375	144749	44133.362644	N	TCGA-AA-3851-01A
hsa-mir-484	223	67.991764	N	TCGA-AA-3851-01A
hsa-mir-760	1	0.304896	N	TCGA-AA-3851-01A
hsa-mir-1249	0	0.0	N	TCGA-AA-3844-01A
hsa-mir-1538	1	1.028548	N	TCGA-AA-3844-01A
hsa-mir-1976	3	3.085645	N	TCGA-AA-3844-01A
hsa-mir-2110	8	8.228387	N	TCGA-AA-3844-01A
hsa-mir-326	3	3.085645	N	TCGA-AA-3844-01A
hsa-mir-346	0	0.0	N	TCGA-AA-3844-01A
hsa-mir-3653	9	9.256936	N	TCGA-AA-3844-01A
hsa-mir-375	9135	9395.789534	N	TCGA-AA-3844-01A
hsa-mir-484	67	68.912742	N	TCGA-AA-3844-01A
hsa-mir-760	1	1.028548	N	TCGA-AA-3844-01A
hsa-mir-1249	1	1.30525	N	TCGA-AA-3672-01A
hsa-mir-1538	0	0.0	N	TCGA-AA-3672-01A
hsa-mir-1976	11	14.357745	N	TCGA-AA-3672-01A
hsa-mir-2110	4	5.220998	N	TCGA-AA-3672-01A
hsa-mir-326	8	10.441997	N	TCGA-AA-3672-01A
hsa-mir-346	0	0.0	N	TCGA-AA-3672-01A
hsa-mir-3653	13	16.968245	N	TCGA-AA-3672-01A
hsa-mir-375	16633	21710.216319	N	TCGA-AA-3672-01A
hsa-mir-484	83	108.335715	N	TCGA-AA-3672-01A
hsa-mir-760	11	14.357745	N	TCGA-AA-3672-01A
hsa-mir-1249	1	1.008217	N	TCGA-AA-3831-01A
hsa-mir-1538	0	0.0	N	TCGA-AA-3831-01A
hsa-mir-1976	9	9.073953	N	TCGA-AA-3831-01A
hsa-mir-2110	5	5.041085	N	TCGA-AA-3831-01A
hsa-mir-326	11	11.090387	N	TCGA-AA-3831-01A
hsa-mir-346	0	0.0	N	TCGA-AA-3831-01A
hsa-mir-3653	84	84.690225	N	TCGA-AA-3831-01A
hsa-mir-375	29230	29470.181983	N	TCGA-AA-3831-01A
hsa-mir-484	61	61.501235	N	TCGA-AA-3831-01A
hsa-mir-760	1	1.008217	N	TCGA-AA-3831-01A
hsa-mir-1249	6	1.211359	N	TCGA-CK-6747-01A
hsa-mir-1538	3	0.60568	N	TCGA-CK-6747-01A
hsa-mir-1976	25	5.04733	N	TCGA-CK-6747-01A
hsa-mir-2110	19	3.835971	N	TCGA-CK-6747-01A
hsa-mir-326	37	7.470048	N	TCGA-CK-6747-01A
hsa-mir-346	1	0.201893	N	TCGA-CK-6747-01A
hsa-mir-3653	25	5.04733	N	TCGA-CK-6747-01A
hsa-mir-375	287941	58133.327842	N	TCGA-CK-6747-01A
hsa-mir-484	124	25.034756	N	TCGA-CK-6747-01A
hsa-mir-760	0	0.0	N	TCGA-CK-6747-01A
hsa-mir-1249	8	2.450409	N	TCGA-F4-6703-01A
hsa-mir-1538	1	0.306301	N	TCGA-F4-6703-01A
hsa-mir-1976	26	7.96383	N	TCGA-F4-6703-01A
hsa-mir-2110	4	1.225205	N	TCGA-F4-6703-01A
hsa-mir-326	38	11.639443	N	TCGA-F4-6703-01A
hsa-mir-346	0	0.0	N	TCGA-F4-6703-01A
hsa-mir-3653	6	1.837807	N	TCGA-F4-6703-01A
hsa-mir-375	15838	4851.197377	N	TCGA-F4-6703-01A
hsa-mir-484	112	34.305727	N	TCGA-F4-6703-01A
hsa-mir-760	3	0.918903	N	TCGA-F4-6703-01A
hsa-mir-1249	1	0.534451	N	TCGA-AA-A02O-01A
hsa-mir-1538	1	0.534451	N	TCGA-AA-A02O-01A
hsa-mir-1976	6	3.206708	N	TCGA-AA-A02O-01A
hsa-mir-2110	0	0.0	N	TCGA-AA-A02O-01A
hsa-mir-326	4	2.137805	N	TCGA-AA-A02O-01A
hsa-mir-346	0	0.0	N	TCGA-AA-A02O-01A
hsa-mir-3653	14	7.482318	N	TCGA-AA-A02O-01A
hsa-mir-375	193020	103159.782756	N	TCGA-AA-A02O-01A
hsa-mir-484	61	32.601527	N	TCGA-AA-A02O-01A
hsa-mir-760	1	0.534451	N	TCGA-AA-A02O-01A
hsa-mir-1249	13	1.796039	N	TCGA-A6-2675-01A
hsa-mir-1538	1	0.138157	N	TCGA-A6-2675-01A
